,msg_uuid,msg_time,dmp_id,dmp_status,user_action,resource_name,creation_time,start_time,end_time,flight_count,average_gate_hold,max_gate_hold,metering_mode,metering_display,lead_time,target_queue_buffers,metering_display_entry_offsets,metering_display_exit_offsets,meteorological_condition,active_runway_departure,active_runway_arrival,eta_msg_time,sta_msg_time,shift,lookahead,start_prediction_accuracy,end_prediction_accuracy,count_prediction_accuracy,average_prediction_accuracy,max_prediction_accuracy
0,217da0c7-9bae-4157-a5a6-8d4c7e52a58c,2018-08-03 08:32:47,CLT_36C_2018-06-26T132941Z_2018-06-26T142841Z,PROPOSED,,36C,2018-06-26 13:02:41,2018-06-26 13:29:41,2018-06-26 14:28:41,36,133893,358863,TIME_BASED_METERING,,1800000,36C:600000 23:0 18L:480000 5:0 36L:0 18R:0 18C:480000 DEFAULT:720011 36R:720000,36C:720000 23:0 18L:600000 5:0 36L:0 18R:0 18C:600000 DEFAULT:780011 36R:840000,36C:300000 23:0 18L:240000 5:0 36L:0 18R:0 18C:240000 DEFAULT:600011 36R:360000,VMC,36L.36C.36R.5,36L.36C.36R.5,2018-06-26 13:02:41,2018-08-03 08:32:47,292,-2920.0,,,,,
1,e324f965-3db8-419c-b977-7bec9338d404,2018-08-03 08:32:47,CLT_36C_2018-06-26T132941Z_2018-06-26T142841Z,AFFIRMED,USER_AFFIRM,36C,2018-06-26 13:02:41,2018-06-26 13:29:51,2018-06-26 14:28:51,36,133893,358863,TIME_BASED_METERING,,1800000,36C:600000 23:0 18L:480000 5:0 36L:0 18R:0 18C:480000 DEFAULT:720011 36R:720000,36C:720000 23:0 18L:600000 5:0 36L:0 18R:0 18C:600000 DEFAULT:780011 36R:840000,36C:300000 23:0 18L:240000 5:0 36L:0 18R:0 18C:240000 DEFAULT:600011 36R:360000,VMC,36L.36C.36R.5,36L.36C.36R.5,2018-06-26 13:02:51,2018-08-03 08:32:47,291,-2910.0,,,,,
2,d865402c-bca5-4ac3-8c18-11dab8b89fda,2018-08-03 08:32:48,CLT_36C_2018-06-26T132941Z_2018-06-26T142841Z,AFFIRMED,USER_AFFIRM,36C,2018-06-26 13:02:41,2018-06-26 13:29:01,2018-06-26 14:28:01,36,133870,358863,TIME_BASED_METERING,,1800000,36C:600000 23:0 18L:480000 5:0 36L:0 18R:0 18C:480000 DEFAULT:720011 36R:720000,36C:720000 23:0 18L:600000 5:0 36L:0 18R:0 18C:600000 DEFAULT:780011 36R:840000,36C:300000 23:0 18L:240000 5:0 36L:0 18R:0 18C:240000 DEFAULT:600011 36R:360000,VMC,36L.36C.36R.5,36L.36C.36R.5,2018-06-26 13:03:01,2018-08-03 08:32:48,290,-2900.0,,,,,
3,646df138-95f7-441c-b55e-f764a0892abe,2018-08-03 08:32:48,CLT_36C_2018-06-26T132941Z_2018-06-26T142841Z,AFFIRMED,USER_AFFIRM,36C,2018-06-26 13:02:41,2018-06-26 13:29:11,2018-06-26 14:28:11,36,133870,358863,TIME_BASED_METERING,,1800000,36C:600000 23:0 18L:480000 5:0 36L:0 18R:0 18C:480000 DEFAULT:720011 36R:720000,36C:720000 23:0 18L:600000 5:0 36L:0 18R:0 18C:600000 DEFAULT:780011 36R:840000,36C:300000 23:0 18L:240000 5:0 36L:0 18R:0 18C:240000 DEFAULT:600011 36R:360000,VMC,36L.36C.36R.5,36L.36C.36R.5,2018-06-26 13:03:11,2018-08-03 08:32:48,289,-2890.0,,,,,
4,934beb5a-c0f7-4643-ba5c-7f311f2a1511,2018-08-03 08:32:49,CLT_36C_2018-06-26T132941Z_2018-06-26T142841Z,AFFIRMED,USER_AFFIRM,36C,2018-06-26 13:02:41,2018-06-26 13:29:21,2018-06-26 14:28:21,36,133870,358863,TIME_BASED_METERING,,1800000,36C:600000 23:0 18L:480000 5:0 36L:0 18R:0 18C:480000 DEFAULT:720011 36R:720000,36C:720000 23:0 18L:600000 5:0 36L:0 18R:0 18C:600000 DEFAULT:780011 36R:840000,36C:300000 23:0 18L:240000 5:0 36L:0 18R:0 18C:240000 DEFAULT:600011 36R:360000,VMC,36L.36C.36R.5,36L.36C.36R.5,2018-06-26 13:03:21,2018-08-03 08:32:49,288,-2880.0,,,,,
5,498bebe4-06b1-4a60-8762-9d8f1f3e3d9b,2018-08-03 08:32:49,CLT_36C_2018-06-26T132941Z_2018-06-26T142841Z,AFFIRMED,USER_AFFIRM,36C,2018-06-26 13:02:41,2018-06-26 13:29:31,2018-06-26 14:28:31,36,133854,358863,TIME_BASED_METERING,,1800000,36C:600000 23:0 18L:480000 5:0 36L:0 18R:0 18C:480000 DEFAULT:720011 36R:720000,36C:720000 23:0 18L:600000 5:0 36L:0 18R:0 18C:600000 DEFAULT:780011 36R:840000,36C:300000 23:0 18L:240000 5:0 36L:0 18R:0 18C:240000 DEFAULT:600011 36R:360000,VMC,36L.36C.36R.5,36L.36C.36R.5,2018-06-26 13:03:31,2018-08-03 08:32:49,287,-2870.0,,,,,
6,38580cfd-d0ce-44cf-bc99-07f65fc93d47,2018-08-03 08:32:50,CLT_36C_2018-06-26T132941Z_2018-06-26T142841Z,AFFIRMED,USER_AFFIRM,36C,2018-06-26 13:02:41,2018-06-26 13:29:41,2018-06-26 14:28:41,36,133886,358863,TIME_BASED_METERING,,1800000,36C:600000 23:0 18L:480000 5:0 36L:0 18R:0 18C:480000 DEFAULT:720011 36R:720000,36C:720000 23:0 18L:600000 5:0 36L:0 18R:0 18C:600000 DEFAULT:780011 36R:840000,36C:300000 23:0 18L:240000 5:0 36L:0 18R:0 18C:240000 DEFAULT:600011 36R:360000,VMC,36L.36C.36R.5,36L.36C.36R.5,2018-06-26 13:03:41,2018-08-03 08:32:50,286,-2860.0,,,,,
7,a243e877-a822-4192-834d-2468eba3dbb2,2018-08-03 08:32:50,CLT_36C_2018-06-26T132941Z_2018-06-26T142841Z,AFFIRMED,USER_AFFIRM,36C,2018-06-26 13:02:41,2018-06-26 13:29:51,2018-06-26 14:28:51,36,133955,358863,TIME_BASED_METERING,,1800000,36C:600000 23:0 18L:480000 5:0 36L:0 18R:0 18C:480000 DEFAULT:720011 36R:720000,36C:720000 23:0 18L:600000 5:0 36L:0 18R:0 18C:600000 DEFAULT:780011 36R:840000,36C:300000 23:0 18L:240000 5:0 36L:0 18R:0 18C:240000 DEFAULT:600011 36R:360000,VMC,36L.36C.36R.5,36L.36C.36R.5,2018-06-26 13:03:51,2018-08-03 08:32:50,285,-2850.0,,,,,
8,f7ba6a92-41e8-4d58-b736-72dce7d71c60,2018-08-03 08:32:51,CLT_36C_2018-06-26T132941Z_2018-06-26T142841Z,AFFIRMED,USER_AFFIRM,36C,2018-06-26 13:02:41,2018-06-26 13:29:01,2018-06-26 14:28:01,36,90594,272303,TIME_BASED_METERING,,1800000,36C:600000 23:0 18L:480000 5:0 36L:0 18R:0 18C:480000 DEFAULT:720011 36R:720000,36C:720000 23:0 18L:600000 5:0 36L:0 18R:0 18C:600000 DEFAULT:780011 36R:840000,36C:300000 23:0 18L:240000 5:0 36L:0 18R:0 18C:240000 DEFAULT:600011 36R:360000,VMC,36L.36C.36R.5,36L.36C.36R.5,2018-06-26 13:04:01,2018-08-03 08:32:51,284,-2840.0,,,,,
9,60bace0d-7cbf-475b-b0a6-8385656e9d69,2018-08-03 08:32:52,CLT_36C_2018-06-26T132941Z_2018-06-26T142841Z,AFFIRMED,USER_AFFIRM,36C,2018-06-26 13:02:41,2018-06-26 13:29:11,2018-06-26 14:28:11,36,98200,341596,TIME_BASED_METERING,,1800000,36C:600000 23:0 18L:480000 5:0 36L:0 18R:0 18C:480000 DEFAULT:720011 36R:720000,36C:720000 23:0 18L:600000 5:0 36L:0 18R:0 18C:600000 DEFAULT:780011 36R:840000,36C:300000 23:0 18L:240000 5:0 36L:0 18R:0 18C:240000 DEFAULT:600011 36R:360000,VMC,36L.36C.36R.5,36L.36C.36R.5,2018-06-26 13:04:11,2018-08-03 08:32:51,283,-2830.0,,,,,
